iter	Passed	Remaining
1235	132547	62949
1236	132650	62840
1237	132751	62730
1238	132852	62619
1239	132955	62510
1240	133068	62405
1241	133175	62298
1242	133282	62191
1243	133398	62088
1244	133510	61982
1245	133617	61875
1246	133726	61769
1247	133828	61659
1248	133940	61554
1249	134045	61446
1250	134155	61340
1251	134272	61237
1252	134383	61132
1253	134499	61029
1254	134604	60920
1255	134718	60816
1256	134819	60706
1257	134920	60596
1258	135028	60489
1259	135129	60379
1260	135231	60269
1261	135337	60161
1262	135444	60054
1263	135547	59945
1264	135645	59834
1265	135746	59724
1266	135848	59614
1267	135959	59509
1268	136064	59400
1269	136178	59296
1270	136283	59188
1271	136386	59079
1272	136485	58968
1273	136593	58861
1274	136701	58755
1275	136799	58643
1276	136909	58537
1277	137016	58430
1278	137116	58320
1279	137214	58208
1280	137319	58100
1281	137425	57993
1282	137527	57883
1283	137631	57775
1284	137732	57665
1285	137832	57555
1286	137948	57451
1287	138064	57348
1288	138179	57244
1289	138280	57134
1290	138388	57027
1291	138488	56917
1292	138591	56808
1293	138693	56699
1294	138799	56591
1295	138900	56481
1296	139015	56377
1297	139119	56269
1298	139222	56160
1299	139331	56054
1300	139436	55946
1301	139541	55838
1302	139641	55727
1303	139745	55619
1304	139844	55509
1305	139951	55402
1306	140061	55295
1307	140161	55186
1308	140262	55076
1309	140362	54966
1310	140475	54861
1311	140577	54752
1312	140688	54646
1313	140789	54537
1314	140898	54430
1315	141001	54322
1316	141108	54214
1317	141214	54107
1318	141314	53997
1319	141421	53889
1320	141519	53779
1321	141622	53670
1322	141724	53561
1323	141829	53453
1324	141940	53348
1325	142046	53240
1326	142150	53132
1327	142254	53024
1328	142357	52915
1329	142461	52807
1330	142565	52698
1331	142671	52591
1332	142774	52482
1333	142873	52372
1334	142985	52267
1335	143091	52159
1336	143198	52052
1337	143303	51944
1338	143402	51834
1339	143500	51724
1340	143605	51616
1341	143708	51508
1342	143812	51399
1343	143915	51291
1344	144014	51181
1345	144127	51076
1346	144310	50996
1347	144446	50899
1348	144544	50788
1349	144649	50680
1350	144759	50574
1351	144858	50464
1352	144962	50356
1353	145068	50249
1354	145162	50137
1355	145265	50028
1356	145365	49919
1357	145466	49809
1358	145570	49701
1359	145674	49593
1360	145782	49486
1361	145893	49380
1362	145994	49271
1363	146101	49164
1364	146210	49058
1365	146316	48950
1366	146421	48842
1367	146533	48737
1368	146638	48629
1369	146747	48523
1370	146843	48412
1371	146947	48304
1372	147057	48197
1373	147156	48088
1374	147263	47981
1375	147360	47870
1376	147461	47761
1377	147562	47652
1378	147664	47543
1379	147762	47433
1380	147866	47325
1381	147972	47218
1382	148075	47110
1383	148192	47006
1384	148291	46896
1385	148394	46788
1386	148506	46682
1387	148621	46577
1388	148725	46470
1389	148822	46359
1390	148923	46250
1391	149027	46142
1392	149127	46033
1393	149234	45926
1394	149336	45817
1395	149436	45708
1396	149539	45600
1397	149663	45498
1398	149762	45388
1399	149868	45281
1400	149970	45173
1401	150080	45067
1402	150188	44960
1403	150295	44853
1404	150399	44745
1405	150497	44635
1406	150604	44528
1407	150705	44419
1408	150814	44313
1409	150917	44204
1410	151023	44097
1411	151126	43989
1412	151233	43882
1413	151328	43771
1414	151430	43663
1415	151534	43555
1416	151642	43448
1417	151747	43341
1418	151852	43233
1419	151964	43127
1420	152069	43020
1421	152170	42911
1422	152276	42804
1423	152376	42695
1424	152473	42585
1425	152578	42477
1426	152675	42368
1427	152776	42259
1428	152877	42151
1429	152985	42044
1430	153090	41936
1431	153188	41827
1432	153300	41721
1433	153411	41615
1434	153515	41508
1435	153617	41399
1436	153718	41291
1437	153819	41182
1438	153923	41074
1439	154028	40967
1440	154137	40860
1441	154241	40753
1442	154344	40645
1443	154451	40538
1444	154555	40430
1445	154655	40321
1446	154753	40212
1447	154860	40105
1448	154965	39997
1449	155072	39891
1450	155171	39782
1451	155276	39674
1452	155376	39565
1453	155481	39458
1454	155581	39349
1455	155691	39243
1456	155794	39135
1457	155896	39027
1458	155995	38918
1459	156105	38812
1460	156205	38703
1461	156307	38595
1462	156406	38486
1463	156510	38379
1464	156608	38270
1465	156711	38162
1466	156822	38056
1467	156927	37949
1468	157030	37841
1469	157126	37731
1470	157223	37622
1471	157325	37514
