feature,lgb_shap_mean,xgb_shap_mean,cb_shap_mean,ensemble_shap
BUREAU_DEBT_RATIO,0.047422167319804975,0.05578101,0.05820235410778265,0.05380184398864241
PAYMENT_DIFF_mean,0.0418463425427071,0.04588962,0.05498070925099392,0.047572223843854865
BUREAU_DAYS_CREDIT_mean,0.054065022257213484,0.049731992,0.036611389890616346,0.04680280144431522
POS_CNT_INSTALMENT_mean,0.05508972320123373,0.047691014,0.03139667471650075,0.04472580386058056
EXT_SOURCE_3,0.03836898344468872,0.055651262,0.03184760867700789,0.04195595150807704
FLAG_WORK_PHONE,0.03867925528617958,0.04335373,0.03888015844866755,0.04030438089495692
BUREAU_AMT_CREDIT_SUM_DEBT_mean,0.037222220210153555,0.046806965,0.03671401339134426,0.04024773287492567
REGION_POPULATION_RELATIVE,0.04303314365424339,0.04109278,0.0339937802069247,0.03937323444951318
PREV_AMT_ANNUITY_mean,0.045410539786629935,0.041560527,0.03110548558478754,0.039358850769554594
NAME_INCOME_TYPE,0.0343620055292249,0.035978943,0.047556894310576525,0.03929928098310458
HAS_EXT_SOURCE_1,0.02771646089226551,0.043981288,0.04123044505794552,0.037642731192874423
FLAG_DOCUMENT_3,0.03812761239607725,0.034759946,0.03960836075643837,0.037498639773328214
ANNUITY_INCOME_RATIO,0.039689867985807724,0.039109092,0.03220873434232363,0.03700256484463141
DAYS_BIRTH_YEARS,0.04233171428017132,0.04340502,0.02480786646721412,0.03684819983141277
ORGANIZATION_TYPE,0.039260821825526565,0.039430432,0.0308439988086691,0.036511750885271185
CC_AMT_DRAWINGS_CURRENT_mean,0.033933689793150555,0.03699063,0.0337287780990995,0.03488436642132886
DAYS_BIRTH,0.03219145773129598,0.039794635,0.02887224064753885,0.03361944446882728
OWN_CAR_AGE,0.0332008198907775,0.033002842,0.03394949318373313,0.03338438509739814
PREV_DAYS_DECISION_mean,0.03248579468801578,0.035895728,0.0290919091088417,0.03249114379056092
DAYS_DIFF_mean,0.03180098734625936,0.033813268,0.031116146487824417,0.03224346726010902
CC_UTILIZATION,0.029221992762268466,0.037678827,0.02951615466405034,0.03213899134221066
DOCUMENT_COUNT,0.03202629385212753,0.03385945,0.02865651167464902,0.03151408529894995
PREV_APP_TO_CREDIT_RATIO,0.034749909208103336,0.03316206,0.02424588833246955,0.03071928622187098
DAYS_LAST_PHONE_CHANGE,0.026395151772831468,0.0317689,0.03233721051475662,0.030167087232850383
REGION_RATING_CLIENT_W_CITY,0.029981079967116405,0.034588117,0.02530364719876374,0.02995761477277754
BUREAU_AMT_CREDIT_SUM_max,0.028785661887766583,0.031367704,0.024696889144142,0.028283418434726263
AMT_REQ_CREDIT_BUREAU_QRT,0.028053495887348828,0.029678686,0.026746833382415174,0.0281596716201296
DAYS_EMPLOYED_YEARS,0.025734985031701796,0.032328654,0.023094589020050012,0.02705274271079372
DAYS_EMPLOYED_RATIO,0.029088596518536486,0.031831954,0.018040688808838204,0.02632041300064317
EXT_SOURCE_PROD,0.0222747428733825,0.031553496,0.01987370106759049,0.024567313205432793
PREV_AMT_CREDIT_max,0.02752293458390433,0.03143539,0.01318501186009048,0.024047778505232587
AMT_CREDIT,0.02395949220817427,0.027956832,0.019537591030774445,0.023817971813079163
DAYS_EMPLOYED,0.017920246829011638,0.022358349,0.030065629489728775,0.023448074970618737
EMPLOYED_TO_AGE,0.029586622448921233,0.02519742,0.014470073910029867,0.02308470554273399
WEEKDAY_APPR_PROCESS_START,0.0245616969353241,0.023426646,0.019317355187382364,0.022435232829807302
